Datetime,open,high,low,close
2021-04-27 11:30:00,32494.45,32519.0,32464.9,32509.8
2021-04-27 11:45:00,32511.65,32599.9,32499.8,32599.9
2021-04-27 12:00:00,32615.25,32635.9,32602.25,32625.65
2021-04-27 12:15:00,32644.15,32649.3,32555.9,32572.15
2021-04-27 12:30:00,32584.85,32611.2,32553.4,32588.2
2021-04-27 12:45:00,32596.95,32618.55,32560.7,32561.55
2021-04-27 13:00:00,32561.75,32578.4,32557.1,32564.3
2021-04-27 13:15:00,32551.0,32596.2,32551.0,32559.55
2021-04-27 13:30:00,32554.05,32580.1,32554.05,32568.05
2021-04-27 13:45:00,32633.8,32643.4,32606.7,32640.95
2021-04-27 14:00:00,32680.55,32699.8,32673.95,32688.5
2021-04-27 14:15:00,32663.1,32715.95,32663.1,32715.95
2021-04-27 14:30:00,32701.05,32746.1,32698.95,32718.0
2021-04-27 14:45:00,32726.15,32726.15,32666.85,32669.25
2021-04-27 15:00:00,32683.45,32748.65,32656.5,32748.65
2021-04-27 15:15:00,32745.0,32796.25,32745.0,32760.25
2021-04-28 09:15:00,32965.35,33049.75,32933.3,33049.75
2021-04-28 09:30:00,33056.05,33077.0,33007.4,33049.5
2021-04-28 09:45:00,33079.05,33143.45,33069.95,33069.95
2021-04-28 10:00:00,33074.15,33096.55,33056.45,33071.35
2021-04-28 10:15:00,33088.2,33091.7,32970.2,32981.4
2021-04-28 10:30:00,32992.7,33058.15,32992.7,33058.15
2021-04-28 10:45:00,33069.5,33099.3,33056.7,33070.45
2021-04-28 11:00:00,33073.65,33117.55,33057.6,33094.05
2021-04-28 11:15:00,33078.5,33115.55,33070.75,33106.75
2021-04-28 11:30:00,33102.9,33114.7,33088.85,33107.3
2021-04-28 11:45:00,33101.1,33165.8,33101.1,33165.8
2021-04-28 12:00:00,33185.5,33210.6,33168.65,33210.6
2021-04-28 12:15:00,33201.1,33287.6,33189.75,33287.6
2021-04-28 12:30:00,33289.3,33344.0,33261.45,33344.0
2021-04-28 12:45:00,33367.4,33486.75,33361.9,33484.75
2021-04-28 13:00:00,33439.7,33528.15,33421.75,33528.15
2021-04-28 13:15:00,33553.4,33553.4,33482.65,33510.45
2021-04-28 13:30:00,33493.6,33522.7,33493.6,33510.15
2021-04-28 13:45:00,33497.75,33655.3,33475.5,33655.3
2021-04-28 14:00:00,33656.85,33667.0,33600.1,33667.0
2021-04-28 14:15:00,33640.85,33691.15,33640.85,33665.2
2021-04-28 14:30:00,33643.7,33723.75,33643.55,33703.9
2021-04-28 14:45:00,33693.95,33762.55,33693.95,33748.6
2021-04-28 15:00:00,33735.05,33766.65,33730.95,33747.1
2021-04-28 15:15:00,33739.7,33739.7,33645.6,33662.65
2021-04-29 09:15:00,34033.85,34266.15,34033.85,34185.3
2021-04-29 09:30:00,34181.0,34238.6,34092.1,34092.1
2021-04-29 09:45:00,34134.65,34134.65,33533.6,33611.5
2021-04-29 10:00:00,33542.8,33794.15,33542.8,33655.7
2021-04-29 10:15:00,33586.75,33716.3,33586.75,33655.9
2021-04-29 10:30:00,33665.95,33685.65,33506.3,33534.85
2021-04-29 10:45:00,33542.9,33552.15,33342.85,33395.65
2021-04-29 11:00:00,33402.3,33423.7,33325.75,33398.5
2021-04-29 11:15:00,33408.95,33681.9,33408.95,33625.35
2021-04-29 11:30:00,33562.2,33637.8,33562.2,33637.8
2021-04-29 11:45:00,33641.0,33732.4,33625.85,33625.85
